Time_ps	P1_Polar	P2_Nematic
5380.00	0.445818	0.644124
5390.00	0.445197	0.645334
5400.00	0.444501	0.648425
5410.00	0.445747	0.644963
5420.00	0.445238	0.644012
5430.00	0.447927	0.646197
5440.00	0.443841	0.641156
5450.00	0.444693	0.646122
5460.00	0.444036	0.643381
5470.00	0.446730	0.645408
5480.00	0.443429	0.640543
5490.00	0.446036	0.643123
5500.00	0.440973	0.638419
5510.00	0.444480	0.642410
5520.00	0.441783	0.638680
5530.00	0.447556	0.650501
5540.00	0.444838	0.648259
5550.00	0.443581	0.645881
5560.00	0.443391	0.637786
5570.00	0.442721	0.643093
5580.00	0.443959	0.644576
5590.00	0.444161	0.644221
5600.00	0.443227	0.639427
5610.00	0.444518	0.644308
5620.00	0.444682	0.644177
5630.00	0.444866	0.645374
5640.00	0.444286	0.647207
5650.00	0.446042	0.641583
5660.00	0.444004	0.641095
5670.00	0.444424	0.648656
5680.00	0.445753	0.645052
5690.00	0.443533	0.644490
5700.00	0.447735	0.646644
5710.00	0.445594	0.649770
5720.00	0.442331	0.641405
5730.00	0.443658	0.646330
5740.00	0.447332	0.651204
5750.00	0.449036	0.644593
5760.00	0.447607	0.643623
5770.00	0.446384	0.644449
5780.00	0.445469	0.640941
5790.00	0.446995	0.650839
5800.00	0.445160	0.640732
5810.00	0.445222	0.644525
5820.00	0.444293	0.641045
5830.00	0.446463	0.641903
5840.00	0.446709	0.644980
5850.00	0.446894	0.643061
5860.00	0.444958	0.646512
5870.00	0.445621	0.647489
5880.00	0.447337	0.647208
5890.00	0.444904	0.648122
5900.00	0.443970	0.641308
5910.00	0.446623	0.647246
5920.00	0.442810	0.639179
5930.00	0.443743	0.638992
5940.00	0.445601	0.638152
5950.00	0.444759	0.638390
5960.00	0.445476	0.646469
5970.00	0.444634	0.636318
5980.00	0.444829	0.641827
5990.00	0.443426	0.635677
6000.00	0.444584	0.641237
6010.00	0.448178	0.638517
6020.00	0.446273	0.642982
6030.00	0.446669	0.639637
6040.00	0.444353	0.647156
6050.00	0.444150	0.643965
6060.00	0.443484	0.643822
6070.00	0.443911	0.640186
6080.00	0.445366	0.639820
6090.00	0.444824	0.640464
6100.00	0.442805	0.638911
6110.00	0.441678	0.639582
6120.00	0.444609	0.640297
6130.00	0.442918	0.635476
6140.00	0.441312	0.637865
6150.00	0.441029	0.639164
6160.00	0.440801	0.633822
6170.00	0.443051	0.637833
6180.00	0.443694	0.639354
6190.00	0.442776	0.634915
6200.00	0.442247	0.634222
6210.00	0.443874	0.635385
6220.00	0.441980	0.633645
6230.00	0.440495	0.632008
6240.00	0.441669	0.631736
6250.00	0.440001	0.633079
6260.00	0.441612	0.633457
6270.00	0.442812	0.636588
6280.00	0.443228	0.636158
6290.00	0.441185	0.635043
6300.00	0.443172	0.635037
6310.00	0.443786	0.628637
6320.00	0.444491	0.636089
6330.00	0.441606	0.635740
6340.00	0.442966	0.639438
6350.00	0.442654	0.640443
6360.00	0.443884	0.642110
6370.00	0.440047	0.639825
