Time_ps	P1_Polar	P2_Nematic
2920.00	0.445069	0.691106
2930.00	0.449222	0.696215
2940.00	0.447101	0.689611
2950.00	0.446597	0.689741
2960.00	0.449224	0.698226
2970.00	0.445616	0.684428
2980.00	0.447519	0.694900
2990.00	0.445608	0.688155
3000.00	0.446593	0.693960
3010.00	0.446191	0.693290
3020.00	0.446470	0.693997
3030.00	0.446047	0.688176
3040.00	0.447818	0.693181
3050.00	0.445871	0.696345
3060.00	0.445212	0.689184
3070.00	0.446125	0.687372
3080.00	0.443545	0.689274
3090.00	0.446419	0.692383
3100.00	0.446408	0.686584
3110.00	0.445599	0.688528
3120.00	0.445290	0.685894
3130.00	0.445185	0.690057
3140.00	0.444174	0.688191
3150.00	0.444672	0.681484
3160.00	0.445818	0.687968
3170.00	0.445282	0.688530
3180.00	0.444303	0.686744
3190.00	0.444027	0.686949
3200.00	0.446028	0.686805
3210.00	0.444540	0.686284
3220.00	0.444404	0.691900
3230.00	0.444228	0.686006
3240.00	0.443958	0.684538
3250.00	0.444243	0.683258
3260.00	0.442690	0.681219
3270.00	0.442725	0.679563
3280.00	0.446028	0.684574
3290.00	0.443773	0.682598
3300.00	0.444969	0.688223
3310.00	0.444362	0.688463
3320.00	0.443907	0.679997
3330.00	0.445237	0.687740
3340.00	0.442707	0.680516
3350.00	0.442326	0.683496
3360.00	0.443700	0.687095
3370.00	0.443389	0.685898
3380.00	0.445145	0.683666
3390.00	0.444393	0.683745
3400.00	0.442871	0.684825
3410.00	0.444717	0.686846
3420.00	0.443739	0.678491
3430.00	0.445392	0.685400
3440.00	0.443835	0.681615
3450.00	0.444343	0.684698
3460.00	0.443021	0.684195
3470.00	0.444062	0.680587
3480.00	0.446767	0.690131
3490.00	0.443947	0.678816
3500.00	0.441126	0.680785
3510.00	0.445528	0.688633
3520.00	0.445419	0.689441
3530.00	0.446796	0.686610
3540.00	0.446231	0.687946
3550.00	0.445704	0.685531
3560.00	0.444769	0.680552
3570.00	0.447301	0.688192
3580.00	0.443504	0.685406
3590.00	0.445470	0.685332
3600.00	0.446186	0.691358
3610.00	0.444210	0.682514
3620.00	0.444919	0.683382
3630.00	0.445749	0.681475
3640.00	0.445944	0.682865
3650.00	0.445469	0.683850
3660.00	0.446752	0.686111
3670.00	0.448307	0.686507
3680.00	0.446180	0.678907
3690.00	0.447085	0.682781
3700.00	0.447588	0.688577
3710.00	0.447368	0.692427
3720.00	0.447529	0.687576
3730.00	0.447331	0.686970
3740.00	0.447137	0.684869
3750.00	0.446771	0.691120
3760.00	0.444688	0.684681
3770.00	0.447010	0.691031
3780.00	0.446625	0.689354
3790.00	0.446849	0.686712
3800.00	0.446848	0.692480
3810.00	0.445216	0.685862
3820.00	0.445723	0.682130
3830.00	0.447398	0.688431
3840.00	0.446348	0.688830
3850.00	0.449438	0.687381
3860.00	0.448605	0.681610
3870.00	0.449971	0.691492
3880.00	0.451595	0.685125
3890.00	0.446753	0.683912
3900.00	0.450146	0.686703
3910.00	0.446499	0.687778
3920.00	0.446188	0.682601
3930.00	0.445996	0.682633
3940.00	0.445258	0.681864
3950.00	0.445947	0.686382
3960.00	0.444975	0.683022
3970.00	0.447502	0.684081
3980.00	0.448561	0.687429
3990.00	0.447846	0.689609
4000.00	0.448930	0.693222
4010.00	0.445724	0.683553
4020.00	0.445821	0.683215
4030.00	0.446427	0.686112
4040.00	0.448192	0.687471
4050.00	0.448435	0.678731
4060.00	0.447508	0.685192
4070.00	0.448074	0.686267
4080.00	0.446670	0.686299
4090.00	0.447173	0.680567
4100.00	0.448621	0.681867
4110.00	0.446441	0.684138
4120.00	0.451301	0.684428
4130.00	0.448541	0.686777
4140.00	0.447172	0.685413
